"APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","ShortenedGuideName","EnglishNameUpdate2018","Native","Codetype","ID","TaxonLevel","IsAttribute","Report"
"CARYOPH","CARYOPH","SILEACA","SILEACA","SILEACA",,"Silene acaulis",7,"(L.) Jacq.","moss campion",,"moss campion","N","U",19271,"spe",0,1
,"CARYOPH","SILEACA1","SILEACA","SILEACA",,"Silene acaulis ssp. acaulis",7,,,,,,"S",19272,"sub",0,0
,"CARYOPH","SILEACA2","SILEACA5","SILEACA",,"Silene acaulis ssp. subacaulescens",7,"( F. N. Williams) Hult.",,,,,"X",19273,"sub",0,1
,"CARYOPH","SILEACA3","SILEACA","SILEACA",,"Silene acaulis var. acaulis",7,,"moss campion",,,,"S",19274,"var",0,0
,"CARYOPH","SILEACA4","SILEACA","SILEACA",,"Silene acaulis var. exscapa",7,"(All.) DC.",,,,,"S",19275,"var",0,0
,"CARYOPH","SILEACA5","SILEACA5","SILEACA",,"Silene acaulis var. subacaulescens",7,"(F.N. Williams) Fern. & St. John","moss campion",,"moss campion","N","X",19276,"var",0,1
,"CARYOPH","SILEALB","SILELAT1","SILELAT",,"Silene alba",7,"(P. Mill.) Krause",,,,,"S",19277,"spe",0,0
"CARYOPH","CARYOPH","SILEANT","SILEANT","SILEANT",,"Silene antirrhina",7,"L.","sleepy catchfly",,"sleepy catchfly campion","N","U",19278,"spe",0,1
"CARYOPH","CARYOPH","SILEARM","ATOCARM","ATOCARM",,"Silene armeria",7,"L.","sweet William catchfly",,"sweet William catchfly","E","S",19279,"spe",0,0
"CARYOPH","CARYOPH","SILECSE","SILECSE","SILECSE",,"Silene csereii",7,"Baumg.","biennial campion",,"biennial campion","E","U",19280,"spe",0,1
,"CARYOPH","SILECUC","SILEVUL","SILEVUL",,"Silene cucubalus",7,"Wibel",,,,,"S",19281,"spe",0,0
,"CARYOPH","SILECUC1","SILEVUL","SILEVUL",,"Silene cucubalus var. latifolia",7,"(P. Mill.) G. Beck",,,,,"S",19282,"var",0,0
"CARYOPH","CARYOPH","SILEDIC","SILEDIC","SILEDIC",,"Silene dichotoma",7,"Ehrh.","forked catchfly",,"forked catchfly","E","U",19283,"spe",0,1
"CARYOPH","CARYOPH","SILEDIO","SILEDIO","SILEDIO",,"Silene dioica",7,"(L.) Clairville","red campion",,"red campion","E","U",19284,"spe",0,1
"CARYOPH","CARYOPH","SILEDOU","SILEDOU","SILEDOU",,"Silene douglasii",7,"Hook.","Douglas' campion",,"Douglas' campion","N","U",19285,"spe",0,1
"CARYOPH","CARYOPH","SILEDOU1","SILEDOU1","SILEDOU",,"Silene douglasii var. douglasii",7,,"Douglas' campion",,"Douglas' campion","N","U",19286,"var",0,1
"CARYOPH","CARYOPH","SILEDRU","SILEDRU","SILEDRU",,"Silene drummondii",7,"Hook.","Drummond's campion",,"Drummond's campion","N","U",19287,"spe",0,1
"CARYOPH","CARYOPH","SILEDRU1","SILEDRU1","SILEDRU",,"Silene drummondii var. drummondii",7,,"Drummond's campion",,"Drummond's campion","N","U",19288,"var",0,1
,"CARYOPH","SILEFUR","SILEINV1","SILEINV",,"Silene furcata",7,"Raf.",,,,,"S",19289,"spe",0,0
"CARYOPH","CARYOPH","SILEGAL","SILEGAL","SILEGAL",,"Silene gallica",7,"L.","small-flowered catchfly",,"small-flowered catchfly","E","U",19290,"spe",0,1
,"CARYOPH","SILEGRA","SILESCO2","SILESCO",,"Silene grandis",7,"Eastw.",,,,,"S",19291,"spe",0,0
"CARYOPH","CARYOPH","SILEINV","SILEINV","SILEINV",,"Silene involucrata",7,"(Cham. & Schlecht.) Bocquet","arctic campion",,"arctic campion","N","U",19292,"spe",0,1
"CARYOPH","CARYOPH","SILEINV1","SILEINV1","SILEINV",,"Silene involucrata ssp. involucrata",7,,"arctic campion",,"arctic campion","N","U",19293,"sub",0,1
,"CARYOPH","SILELAI","SILEVUL","SILEVUL",,"Silene latifolia_",7,"(P. Mill.) Brill. & Rendle",,,,,"S",19294,"spe",0,0
"CARYOPH","CARYOPH","SILEMEN","SILEMEN","SILEMEN",,"Silene menziesii",7,"Hook.","Menzies' campion",,"Menzies' campion","N","U",19295,"spe",0,1
,"CARYOPH","SILEMEN1","SILEMEN","SILEMEN",,"Silene menziesii var. menziesii",7,,,,,,"S",19296,"var",0,0
,"CARYOPH","SILEMEN2","SILEMEN2","SILEMEN",,"Silene menziesii var. viscosa",7,"(Greene) C.L. Hitchc. & Maguire","Menzies' campion",,"Menzies' campion","N","X",19297,"var",0,1
"CARYOPH","CARYOPH","SILENOC","SILENOC","SILENOC",,"Silene noctiflora",7,"L.","night-flowering catchfly",,"night-flowering catchfly","E","U",19298,"spe",0,1
,"CARYOPH","SILEPAC","SILESCO2","SILESCO",,"Silene pacifica",7,"Eastw.",,,,,"S",19299,"spe",0,0
"CARYOPH","CARYOPH","SILEPAR","SILEPAR","SILEPAR",,"Silene parryi",7,"(S. Wats.) C.L. Hitchc. & Maguire","Parry's campion",,"Parry's campion","N","U",19300,"spe",0,1
"CARYOPH","CARYOPH","SILEREP","SILEREP","SILEREP",,"Silene repens",7,"Patrin ex Pers.","pink campion",,"pink campion","N","U",19301,"spe",0,1
"CARYOPH","CARYOPH","SILESCO","SILESCO","SILESCO",,"Silene scouleri",7,"Hook.","Scouler's campion",,"Scouler's campion","N","U",19302,"spe",0,1
,"CARYOPH","SILESCO1","SILESCO2","SILESCO",,"Silene scouleri ssp. grandis",7,"(Eastw.) C.L. Hitchc. & Maguire",,,,,"S",19303,"sub",0,0
"CARYOPH","CARYOPH","SILESCO2","SILESCO2","SILESCO",,"Silene scouleri ssp. scouleri",7,,"coastal Scouler's catchfly",,"coastal Scouler's campion","N","U",19304,"sub",0,1
,"CARYOPH","SILESCO3","SILESCO2","SILESCO",,"Silene scouleri var. pacifica",7,"(Eastw.) C.L. Hitchc.",,,,,"S",19305,"var",0,0
,"CARYOPH","SILESOR","SILEOST","SILEOST",,"Silene sorensenis",7,"(Boivin) Bocquet",,,,,"S",19306,"spe",0,0
"CARYOPH","CARYOPH","SILENE","SILENE","SILENE",,"Silene sp.",7,,,,"campion","N","U",19307,"gen",0,1
"CARYOPH","CARYOPH","SILESPA","SILESPA","SILESPA",,"Silene spaldingii",7,"S. Wats.","Spalding's campion",,"Spalding's campion","N","U",19308,"spe",0,1
,"CARYOPH","SILETAI","SILEOST","SILEOST",,"Silene taimyrensis",7,"(Tolm.) Bocquet",,,,,"S",19309,"spe",0,0
"CARYOPH","CARYOPH","SILEURA","SILEURA","SILEURA",,"Silene uralensis",7,"(Rupr.) Bocquet","nodding campion",,"nodding campion","N","U",19310,"spe",0,1
"CARYOPH","CARYOPH","SILEURA1","SILEURA1","SILEURA",,"Silene uralensis ssp. attenuata",7,"(Farr) McNeill","nodding campion",,"nodding campion","N","U",19311,"sub",0,1
"CARYOPH","CARYOPH","SILEVUL","SILEVUL","SILEVUL",,"Silene vulgaris",7,"(Moench) Garcke","bladder campion",,"bladder campion","E","U",19312,"spe",0,1
"ASTERAC","ASTERAC","SILYMAR","SILYMAR","SILYMAR",,"Silybum marianum",7,"(L.) Gaertn.","milk thistle",,"milk-thistle","E","U",19313,"spe",0,1
"ASTERAC","ASTERAC","SILYBUM","SILYBUM","SILYBUM",,"Silybum sp.",7,"Adanson",,,"milk-thistle","E","U",19314,"gen",0,1
,"BRASSIA","SINAJUN","BRASJUN","BRASJUN",,"Sinapis juncea",7,"L.",,,,,"S",19317,"spe",0,0
"ASTERAC","ASTERAC","SINONEW","SINONEW","SINONEW",,"Sinosenecio newcombei",7,"(Greene) Janovic & Barkley","Newcombe's butterweed",,"Newcombe's ragwort","N","S",19318,"spe",0,1
"BRASSIA","BRASSIA","SISYALT","SISYALT","SISYALT",,"Sisymbrium altissimum",7,"L.","tall tumble-mustard",,"tall tumble-mustard","E","U",19319,"spe",0,1
"BRASSIA","BRASSIA","SISYLOE","SISYLOE","SISYLOE",,"Sisymbrium loeselii",7,"L.","Loesel's tumble-mustard",,"Loesel's tumble-mustard","E","U",19320,"spe",0,1
"BRASSIA","BRASSIA","SISYOFF","SISYOFF","SISYOFF",,"Sisymbrium officinale",7,"(L.) Scop.","hedge mustard",,"common tumble-mustard","E","U",19321,"spe",0,1
"BRASSIA","BRASSIA","SISYMBR","SISYMBR","SISYMBR",,"Sisymbrium sp.",7,,,,"tumble-mustard","E","U",19322,"gen",0,1
,"IRIDACE","SISYANG","SISYIDA2","SISYIDA",,"Sisyrinchium angustifolium",7,"auct. non Mill.",,,,,"S",19323,"spe",0,0
"IRIDACE","IRIDACE","SISYCAL","SISYCAL","SISYCAL",,"Sisyrinchium californicum",7,"(Ker-Gawl. ex Sims) Ait.","golden-eyed-grass",,"golden blue-eyed-grass","N","U",19324,"spe",0,1
,"IRIDACE","SISYDOU","OLSYDOU2","OLSYDOU",,"Sisyrinchium douglasii",7,"A. Dietr.",,,,,"S",19325,"spe",0,0
"IRIDACE","IRIDACE","SISYIDA","SISYIDA","SISYIDA",,"Sisyrinchium idahoense",7,"Bickn.","Idaho blue-eyed-grass",,"Idaho blue-eyed-grass","N","U",19326,"spe",0,1
"IRIDACE","IRIDACE","SISYIDA1","SISYIDA1","SISYIDA",,"Sisyrinchium idahoense var. idahoense",7,,"Idaho blue-eyed-grass",,"Idaho blue-eyed-grass","N","U",19327,"var",0,1
"IRIDACE","IRIDACE","SISYIDA2","SISYIDA2","SISYIDA",,"Sisyrinchium idahoense var. macounii",7,"(Bickn.) Henderson","Idaho blue-eyed-grass",,"Idaho blue-eyed-grass","N","U",19328,"var",0,1
"IRIDACE","IRIDACE","SISYINF","OLSYDOU2","OLSYDOU",,"Sisyrinchium inflatum",7,"(Suksd.) St. John",,,,,"S",19329,"spe",0,0
"IRIDACE","IRIDACE","SISYLIT","SISYLIT","SISYLIT",,"Sisyrinchium littorale",7,"Greene","shore blue-eyed-grass",,"shore blue-eyed-grass","N","U",19330,"spe",0,1
"IRIDACE","IRIDACE","SISYMAC","SISYIDA2","SISYIDA",,"Sisyrinchium macounii",7,"Bickn.",,,,,"S",19331,"spe",0,0
"IRIDACE","IRIDACE","SISYMON","SISYMON","SISYMON",,"Sisyrinchium montanum",7,"Greene","mountain blue-eyed-grass",,"mountain blue-eyed-grass","N","U",19332,"spe",0,1
"IRIDACE","IRIDACE","SISYMON1","SISYMON1","SISYMON",,"Sisyrinchium montanum var. montanum",7,"Greene",,,,"N","U",19333,"var",0,1
"IRIDACE","IRIDACE","SISYSEP","SISYSEP","SISYSEP",,"Sisyrinchium septentrionale",7,"Bickn.","northern blue-eyed-grass",,"northern blue-eyed-grass","N","U",19334,"spe",0,1
"IRIDACE","IRIDACE","SISYRIN","SISYRIN","SISYRIN",,"Sisyrinchium sp.",7,,,,"blue-eyed-grass","N","U",19335,"gen",0,1
,"APIACEA","SIUMINC","BERUERE1","BERUERE",,"Sium incisum",7,"Torr.",,,,,"S",19336,"spe",0,0
"APIACEA","APIACEA","SIUM","SIUM","SIUM",,"Sium sp.",7,,,,"water-parsnip","N","U",19337,"gen",0,1
"APIACEA","APIACEA","SIUMSUA","SIUMSUA","SIUMSUA",,"Sium suave",7,"Walt.","hemlock water-parsnip",,"hemlock water-parsnip","N","U",19338,"spe",0,1
,"BRASSIC","SMELCAL","SMELAME","SMELAME",,"Smelowskia calycina",7,"(Steph.) C.A. Mey.",,,,,"S",19339,"spe",0,0
"BRASSIA","BRASSIA","SMELOVA","SMELOVA","SMELOVA",,"Smelowskia ovalis",7,"M.E. Jones","short-fruited smelowskia",,"short-fruited smelowskia","N","U",19340,"spe",0,1
"BRASSIA","BRASSIA","SMELOWS","SMELOWS","SMELOWS",,"Smelowskia sp.",7,,,,"smelowskia","N","U",19341,"gen",0,1
,"LILIACE","SMILRAC","MAIARAC","MAIARAC",,"Smilacina racemosa",7,"(L.) Desf.",,,,,"S",19342,"spe",0,0
,"LILIACE","SMILRAC1","MAIARAC1","MAIARAC",,"Smilacina racemosa var. amplexicaulis",7,"(Nutt. ex Baker) S. Wats.",,,,,"S",19343,"var",0,0
,"LILIACE","SMILACI","MAIANTH","MAIANTH",,"Smilacina sp.",7,,,,,,"S",19344,"gen",0,0
,"LILIACE","SMILSTE","MAIASTE","MAIASTE",,"Smilacina stellata",7,"(L.) Desf.",,,,,"S",19345,"spe",0,0
,"LILIACE","SMILTRI","MAIATRI","MAIATRI",,"Smilacina trifolia",7,"(L.) Desf.",,,,,"S",19346,"spe",0,0
"FABACEA","FABACEA","VICIAME","VICIAME","VICIAME",,"Vicia americana",7,"Muhl. ex Willd.","American vetch",,"American vetch","N","U",19802,"spe",0,1
,"FABACEA","VICIANG","VICISAT1","VICISAT",,"Vicia angustifolia",7,"L.",,,,,"S",19803,"spe",0,0
"FABACEA","FABACEA","VICICRA","VICICRA","VICICRA",,"Vicia cracca",7,"L.","tufted vetch",,"tufted vetch","E","U",19804,"spe",0,1
,"FABACEA","VICIGIG","VICINIG1","VICINIG",,"Vicia gigantea",7,"Hook.",,,,,"S",19805,"spe",0,0
"FABACEA","FABACEA","VICIHIR","VICIHIR","VICIHIR",,"Vicia hirsuta",7,"(L.) S.F. Gray","tiny vetch",,"tiny vetch","E","U",19806,"spe",0,1
"FABACEA","FABACEA","VICISAT","VICISAT","VICISAT",,"Vicia sativa",7,"L.","common vetch",,"common vetch","E","U",19807,"spe",0,1
"FABACEA","FABACEA","VICISAT1","VICISAT1","VICISAT",,"Vicia sativa var. angustifolia",7,"(L.) Wahlenb.","common vetch",,"common vetch","E","U",19808,"var",0,1
"FABACEA","FABACEA","VICISAT2","VICISAT2","VICISAT",,"Vicia sativa var. sativa",7,,"common vetch",,"common vetch","E","U",19809,"var",0,1
,"PORTULC","SPRAUMB1","CISTUMB","CISTUMB",,"Spraguea umbellata var. caudicifera",7,"A. Gray",,,,,"S",19431,"var",0,0
"LAMIACE","LAMIACE","STACARV","STACARV","STACARV",,"Stachys arvensis",7,"(L.) L.","field hedge-nettle",,"field hedge-nettle","E","U",19432,"spe",0,1
"LAMIACE","LAMIACE","STACBYZ","STACBYZ","STACBYZ",,"Stachys byzantina",7,"K. Koch ex Scheele","lamb's-ear",,"lamb's-ear hedge-nettle","E","U",19433,"spe",0,1
,"CARYOPH","STELCAL2","STELCAL","STELCAL",,"Stellaria calycantha var. calycantha",7,,,,,,"S",19450,"var",0,0
,"CARYOPH","STELCAL3","STELBOR2","STELBOR",,"Stellaria calycantha var. isophylla",7,"(Fern.) Fern.",,,,,"S",19451,"var",0,0
,"CARYOPH","STELCAL4","STELCAL","STELCAL",,"Stellaria calycantha var. simcoei",7,"(Howell) Fern.",,,,,"S",19452,"var",0,0
,"CARYOPH","STELCAL5","STELBOR2","STELBOR",,"Stellaria calycantha var. sitchana",7,"(Steud.) Fern.",,,,,"S",19453,"var",0,0
"CARYOPH","CARYOPH","STELCRA","STELCRA","STELCRA",,"Stellaria crassifolia",7,"Ehrh.","thick-leaved starwort",,"fleshy starwort","N","U",19454,"spe",0,1
"CARYOPH","CARYOPH","STELCRI","STELCRI","STELCRI",,"Stellaria crispa",7,"Cham. & Schlecht.","crisp starwort",,"crisp starwort","N","U",19455,"spe",0,1
,"CARYOPH","STELEDW","STELLOG7","STELLOG",,"Stellaria edwardsii",7,"R. Br.",,,,,"S",19456,"spe",0,0
"CARYOPH","CARYOPH","STELGRA","STELGRA","STELGRA",,"Stellaria graminea",7,"L.","grass-leaved starwort",,"grass-leaved starwort","E","U",19457,"spe",0,1
"CARYOPH","CARYOPH","STELHUM","STELHUM","STELHUM",,"Stellaria humifusa",7,"Rottb.","salt marsh starwort",,"saltmarsh starwort","N","U",19458,"spe",0,1
,"CARYOPH","STELLAE","STELLOG7","STELLOG",,"Stellaria laeta",7,"Richards.",,,,,"S",19459,"spe",0,0
"CARYOPH","CARYOPH","STELLOG","STELLOG","STELLOG",,"Stellaria longipes",7,"Goldie","long-stalked starwort",,"long-stalked starwort","N","U",19460,"spe",0,1
,"CARYOPH","STELLOG1","STELLOG6","STELLOG",,"Stellaria longipes var. altocaulis",7,"(Hult.) C.L. Hitchc.",,,,,"S",19461,"var",0,0
,"CARYOPH","STELLOG2","STELLOG7","STELLOG",,"Stellaria longipes var. edwardsii",7,"(R. Br.) A. Gray",,,,,"S",19462,"var",0,0
,"CARYOPH","STELLOG3","STELLOG7","STELLOG",,"Stellaria longipes var. laeta",7,"(Richards.) S. Wats.",,,,,"S",19463,"var",0,0
,"CARYOPH","STELLOG5","STELLOG7","STELLOG",,"Stellaria longipes var. subvestita",7,"(Greene) Pol.",,,,,"S",19464,"var",0,0
"CARYOPH","CARYOPH","STELMED","STELMED","STELMED",,"Stellaria media",7,"(L.) Vill.","common chickweed",,"common chickweed","E","U",19465,"spe",0,1
,"CARYOPH","STELMON","STELLOG6","STELLOG",,"Stellaria monantha",7,"Hult.",,,,,"S",19466,"spe",0,0
,"CARYOPH","STELMON1","STELLOG6","STELLOG",,"Stellaria monantha var. altocaulis",7,"Hult.",,,,,"S",19467,"var",0,0
"CARYOPH","CARYOPH","STELNIT","STELNIT","STELNIT",,"Stellaria nitens",7,"Nutt.","shining starwort",,"shiny starwort","N","U",19468,"spe",0,1
"CARYOPH","CARYOPH","STELOBT","STELOBT","STELOBT",,"Stellaria obtusa",7,"Engelm.","blunt-sepaled starwort",,"blunt-sepaled starwort","N","U",19469,"spe",0,1
,"CARYOPH","STELSIM","STELCAL","STELCAL",,"Stellaria simcoei",7,"(Howell) C.L. Hitchc.",,,,,"S",19470,"spe",0,0
,"CARYOPH","STELSIT","STELBOR2","STELBOR",,"Stellaria sitchana",7,"Steud.",,,,,"S",19471,"spe",0,0
"CARYOPH","CARYOPH","STELLAR","STELLAR","STELLAR",,"Stellaria sp.",7,,"starwort",,"starwort","N","U",19472,"gen",0,1
,"CARYOPH","STELSTR","STELLOG7","STELLOG",,"Stellaria stricta",7,"Richards.",,,,,"S",19473,"spe",0,0
,"CARYOPH","STELSUB","STELLOG7","STELLOG",,"Stellaria subvestita",7,"Greene",,,,,"S",19474,"spe",0,0
"CARYOPH","CARYOPH","STELUMB","STELUMB","STELUMB",,"Stellaria umbellata",7,"Turcz. ex Kar. & Kinr.","umbellate starwort",,"umbellate starwort","N","U",19475,"spe",0,1
"MELANTH","LILIACE","STENOCC","ANTIOCC","ANTIOCC",,"Stenanthium occidentale",7,"A. Gray","western mountainbells",,"western mountainbells","N","S",19476,"spe",0,0
"MELANTH","LILIACE","STENANT","STENANT","STENANT",,"Stenanthium sp.",7,,,,"mountainbells","N","U",19477,"gen",0,1
"ASTERAC","ASTERAC","STEPHAN","STEPHAN","STEPHAN",,"Stephanomeria sp.",7,"Nutt.",,,"wire-lettuce","N","U",19478,"gen",0,1
"ASTERAC","ASTERAC","STEPTEN","STEPTEN","STEPTEN",,"Stephanomeria tenuifolia",7,"(Raf.) Hall","narrow-leaved stephanomeria",,"narrow-leaved wire-lettuce","N","U",19479,"spe",0,1
"LILIACE","LILIACE","STREAMP","STREAMP","STREAMP",,"Streptopus amplexifolius",7,"(L.) DC.","clasping twistedstalk",,"clasping twistedstalk","N","U",19480,"spe",0,1
"LILIACE","LILIACE","STREAMP1","STREAMP4","STREAMP",,"Streptopus amplexifolius var. americanus",7,"Schult.",,,,,"S",19481,"var",0,0
"LILIACE","LILIACE","STREAMP2","STREAMP","STREAMP",,"Streptopus amplexifolius var. chalazatus",7,"Fassett","clasping twistedstalk",,"clasping twistedstalk","N","S",19482,"var",0,0
"LILIACE","LILIACE","STREAMP3","STREAMP4","STREAMP",,"Streptopus amplexifolius var. denticulatus",7,"Fassett",,,,,"S",19483,"var",0,0
"JUNCAGI","JUNCAGI","TRIGPAL","TRIGPAL","TRIGPAL",,"Triglochin palustris",7,"L.","marsh arrrow-grass",,"marsh arrow-grass","N","U",19707,"spe",0,1
"JUNCAGI","JUNCAGI","TRIGLOC","TRIGLOC","TRIGLOC",,"Triglochin sp.",7,,,,"arrow-grass","N","U",19708,"gen",0,1
"MELANTH",,"TRILOVA","TRILOVA","TRILOVA",,"Trillium ovatum",7,"Pursh","western trillium",,"western trillium","N","U",19709,"spe",0,1
,,"TRILOVA1","TRILOVA2","TRILOVA",,"Trillium ovatum f. hibbersonii",7,"Taylor & Szczawinski",,,,,"S",19710,"spe",0,0
"MELANTH",,"TRILLIU","TRILLIU","TRILLIU",,"Trillium sp.",7,,,,"trillium","N","U",19711,"gen",0,1
"CAMPANL","CAMPANL","TRIOPER","TRIOPER","TRIOPER",,"Triodanis perfoliata",7,"(L.) Nieuwl.","Venus' looking-glass",,"Venus' looking-glass","N","U",19712,"spe",0,1
"OROBANH","SCROPHL","TRIPHYS","TRIPHYS","TRIPHYS",,"Triphysaria sp.",7,"Fish. & C.A. Mey.",,,"false owl-clover","N","U",19713,"gen",0,1
"OROBANH","SCROPHL","TRIPVER","TRIPVER","TRIPVER",,"Triphysaria versicolor",7,"Fisch. & C. Meyer","bearded owl-clover",,"bearded false owl-clover","N","U",19714,"spe",0,1
"OROBANH","SCROPHL","TRIPVER1","TRIPVER1","TRIPVER",,"Triphysaria versicolor ssp. versicolor",7,,"bearded owl-clover",,"bearded false owl-clover","N","U",19715,"sub",0,1
"ASPARAA","LILIACE","TRITGRA","TRITGRA","TRITGRA",,"Triteleia grandiflora",7,"Lindl.","large-flowered triteleia",,"large-flowered triteleia","N","U",19716,"spe",0,1
"ASPARAA","LILIACE","TRITHOW","TRITHOW","TRITHOW",,"Triteleia howellii",7,"(S. Wats.) Greene","Howell's triteleia",,"Howell's triteleia","N","U",19717,"spe",0,1
"ASPARAA","LILIACE","TRITHYA","TRITHYA","TRITHYA",,"Triteleia hyacinthina",7,"(Lindl.) Greene","white triteleia",,"white triteleia","N","U",19718,"spe",0,1
"ASPARAA","LILIACE","TRITELE","TRITELE","TRITELE",,"Triteleia sp.",7,,,,"triteleia","N","U",19719,"gen",0,1
"PLANTAI","PLANTAI","VEROCAT","VEROCAT","VEROCAT",,"Veronica catenata",7,"Pennell","pink water speedwell",,"pink water speedwell","N","U",19782,"spe",0,1
"PLANTAI","PLANTAI","VEROCHA","VEROCHA","VEROCHA",,"Veronica chamaedrys",7,"L.","germander speedwell",,"germander speedwell","E","U",19783,"spe",0,1
"PLANTAI","PLANTAI","VEROCUS","VEROCUS","VEROCUS",,"Veronica cusickii",7,"A. Gray","Cusick's speedwell",,"Cusick's speedwell","N","U",19784,"spe",0,1
"PLANTAI","PLANTAI","VEROFIL","VEROFIL","VEROFIL",,"Veronica filiformis",7,"Sm.","slender speedwell",,"slender speedwell","E","U",19785,"spe",0,1
"PLANTAI","PLANTAI","VEROHED","VEROHED","VEROHED",,"Veronica hederifolia",7,"L.","ivy-leaved speedwell",,"ivy-leaved speedwell","E","U",19786,"spe",0,1
"PLANTAI","PLANTAI","VEROOFF","VEROOFF","VEROOFF",,"Veronica officinalis",7,"L.","common speedwell",,"common speedwell","E","U",19787,"spe",0,1
"PLANTAI","PLANTAI","VEROPER","VEROPER","VEROPER",,"Veronica peregrina",7,"L.","purslane speedwell",,"purslane speedwell","N","U",19788,"spe",0,1
"PLANTAI","PLANTAI","VEROPER1","VEROPER1","VEROPER",,"Veronica peregrina var. peregrina",7,,"purslane speedwell",,"purslane speedwell","E","U",19789,"var",0,1
"PLANTAI","PLANTAI","VEROPER2","VEROPER2","VEROPER",,"Veronica peregrina var. xalapensis",7,"(H.B.K.) St. John & Warren","purslane speedwell",,"purslane speedwell","N","U",19790,"var",0,1
"PLANTAI","PLANTAI","VEROPES","VEROPES","VEROPES",,"Veronica persica",7,"Poir.","bird's-eye speedwell",,"bird's-eye speedwell","E","U",19791,"spe",0,1
"PLANTAI","PLANTAI","VEROSCU","VEROSCU","VEROSCU",,"Veronica scutellata",7,"L.","marsh speedwell",,"marsh speedwell","N","U",19792,"spe",0,1
"PLANTAI","PLANTAI","VEROSER","VEROSER","VEROSER",,"Veronica serpyllifolia",7,"L.","thyme-leaved speedwell",,"thyme-leaved speedwell","E","U",19793,"spe",0,1
,"PLANTAI","VEROSER1","VEROSER1","VEROSER",,"Veronica serpyllifolia ssp. humifusa",7,,,,,,"S",19794,"sub",0,0
,"PLANTAI","VEROSER2","VEROSER2","VEROSER",,"Veronica serpyllifolia ssp. serpyllifolia",7,,,,,,"S",19795,"sub",0,0
"PLANTAI","PLANTAI","VEROSER3","VEROSER1","VEROSER",,"Veronica serpyllifolia var. humifusa",7,"(Dickson) Vahl","thyme-leaved speedwell",,"thyme-leaved speedwell","N","U",19796,"var",0,1
"PLANTAI","PLANTAI","VEROSER4","VEROSER2","VEROSER",,"Veronica serpyllifolia var. serpyllifolia",7,,"thyme-leaved speedwell",,"thyme-leaved speedwell","E","U",19797,"var",0,1
"PLANTAI","PLANTAI","VERONIC","VERONIC","VERONIC",,"Veronica sp.",7,,"speedwell",,"speedwell","N","U",19798,"gen",0,1
"PLANTAI","PLANTAI","VEROVER","VEROVER","VEROVER",,"Veronica verna",7,"L.","spring speedwell",,"spring speedwell","E","U",19799,"spe",0,1
"PLANTAI","PLANTAI","VEROWOR","VEROWOR","VEROWOR",,"Veronica wormskjoldii",7,"Roemer & Schultes","alpine speedwell",,"alpine speedwell","N","U",19800,"spe",0,1
,"PLANTAI","VEROWOR1","VEROWOR1","VEROWOR",,"Veronica wormskjoldii var. wormskjoldii",7,,"alpine speedwell",,"alpine speedwell","N","X",19801,"var",0,1
"VIOLACE","VIOLACE","VIOLVAL","VIOLVAL","VIOLVAL",,"Viola vallicola",7,"A. Nels.","yellow sagebrush violet",,"yellow sagebrush violet","N","U",19860,"spe",0,1
"VIOLACE","VIOLACE","VIOLVAL1","VIOLVAL1","VIOLVAL",,"Viola vallicola var. major",7,"(Hook.) Fabijan","yellow sagebrush violet",,"yellow sagebrush violet","N","U",19861,"var",0,1
"VIOLACE","VIOLACE"," VIOLAC","VIOLACE","VIOLACE",,"Violaceae",7,,,,,"N","U",19862,"fam",0,1
"ARACEAE","ARACEAE","WOLFBOR","WOLFBOR","WOLFBOR",,"Wolffia borealis",7,"(Engelm. ex Hegelm.) Landolt ex Landolt & Wildi","northern water-meal",,"northern water-meal","N","U",19863,"spe",0,1
"ARACEAE","ARACEAE","WOLFCOL","WOLFCOL","WOLFCOL",,"Wolffia columbiana",7,"Karst.","Columbian water-meal",,"Columbian water-meal","N","U",19864,"spe",0,1
,"ARACEAE","WOLFPUN","WOLFBOR","WOLFBOR",,"Wolffia punctata",7,"auct. non Griseb.",,,,,"S",19865,"spe",0,0
"ARACEAE","ARACEAE","WOLFFIA","WOLFFIA","WOLFFIA",,"Wolffia sp.",7,,,,"water-meal","N","U",19866,"gen",0,1
"FABACEA","FABACEA","VICIVIL","VICIVIL","VICIVIL",,"Vicia villosa",7,"Roth",,,"hairy vetch","E","U",19812,"spe",0,1
,"LAMIACE","STACCIL","STACMEX","STACMEX",,"Stachys ciliata",7,"Dougl. ex Benth.",,,,,"S",19434,"spe",0,0
,"LAMIACE","STACCOO","STACCHA1","STACCHA",,"Stachys cooleyae",7,"Heller",,,,,"S",19435,"spe",0,0
,"LAMIACE","STACLAN","STACBYZ","STACBYZ",,"Stachys lanata",7,"Jacq.",,,,,"S",19436,"spe",0,0
"LAMIACE","LAMIACE","STACMEX","STACMEX","STACMEX",,"Stachys mexicana",7,"Benth.","Mexican hedge-nettle",,"Mexican hedge-nettle","N","U",19437,"spe",0,1
,"LAMIACE","STACOLY","STACBYZ","STACBYZ",,"Stachys olympica",7,"Poir.",,,,,"S",19438,"spe",0,0
"LAMIACE","LAMIACE","STACPAL","STACPAL","STACPAL",,"Stachys palustris",7,"L.","swamp hedge-nettle",,"marsh hedge-nettle","N","U",19439,"spe",0,1
