"","Class","Pred","11SiteSeries","Same"
"19","ORDER Leymcin","ORDER Juncbal-Hordjub","BG  xw 1 /Ga05",0
"29","ORDER Hesperus - Achnanthum (20 series)","ORDER Pseuspi (0-20)","BG  xw 2 /Gg24",0
